timestamp,game_minute,market_id,market_type,runner_id,runner_name,back_odds,lay_odds
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,9,0 - 2,5.00,
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,16,0 - 3,5.00,
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,2,1 - 0,5.00,
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,3,1 - 1,5.00,
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,8,1 - 2,1.46,
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,15,1 - 3,1.46,
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,5,2 - 0,5.00,
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,6,2 - 1,2.04,3.20
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,7,2 - 2,1.46,1000.00
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,14,2 - 3,1.46,990.00
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,10,3 - 0,5.00,
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,11,3 - 1,1.46,1000.00
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,12,3 - 2,1.46,990.00
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,13,3 - 3,1.46,
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,9063254,Any Other Home Win,1.46,
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,9063255,Any Other Away Win,1.46,
2026-02-20T14:42:41.947527400Z,73,1.254198747,CORRECT_SCORE,9063256,Any Other Draw,1.46,
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,1,0 - 0,11.50,
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,4,0 - 1,11.50,
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,9,0 - 2,11.50,
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,16,0 - 3,11.50,
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,2,1 - 0,11.50,
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,3,1 - 1,11.50,
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,8,1 - 2,11.50,
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,15,1 - 3,11.50,
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,5,2 - 0,11.50,
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,6,2 - 1,2.22,2.56
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,7,2 - 2,5.10,5.90
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,14,2 - 3,18.00,38.00
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,10,3 - 0,11.50,
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,11,3 - 1,4.80,5.40
2026-02-20T14:43:12.365285500Z,73,1.254198747,CORRECT_SCORE,12,3 - 2,10.50,15.00
